tiempo,Ti_ae,Ti_bm,Ti_ca,Ti_za,Ti,To_esolmet
2019-06-09 00:10:00,26.665127906637863,26.821597504927656,26.88288513647879,26.72527973558925,26.900936600000005,23.52
2019-06-09 00:20:00,26.649337970365853,26.792661053656047,26.733839031434268,26.70550445641407,26.905551399999997,23.75
2019-06-09 00:30:00,26.58434832205645,26.75733218785565,26.681603403430167,26.645699912562137,26.8005647,23.74
2019-06-09 00:40:00,26.35653885412907,26.694438106016012,26.646719404623127,26.53532869408902,26.73018900000001,23.55
2019-06-09 00:50:00,26.232836090636575,26.63974162254975,26.563872391197076,26.493953713213173,26.664428100000002,23.66
2019-06-09 01:00:00,26.188193731574607,26.628871846856107,26.46232464770887,26.47217042903626,26.6505837,24.13
2019-06-09 01:10:00,26.155017247726175,26.620048654516268,26.40534796589121,26.44160942787077,26.6736577,24.26
2019-06-09 01:20:00,26.104985358021782,26.56651671714705,26.39999320700893,26.37148281575314,26.5894376,23.86
2019-06-09 01:30:00,26.095884305378913,26.508373499719898,26.377259157188178,26.33660061631498,26.5963598,23.81
2019-06-09 01:40:00,26.08280874461588,26.5000098732338,26.30517860206276,26.330705506021037,26.68865580000001,24.29
2019-06-09 01:50:00,26.02869145453131,26.45947883323073,26.346456833226146,26.273924673206373,26.664428100000002,23.89
2019-06-09 02:00:00,25.91144993035223,26.383318068441923,26.288042904197827,26.19748373611732,26.6528911,23.63
2019-06-09 02:10:00,25.830734335905625,26.31556792718617,26.17549257834548,26.116334592553358,26.5652099,23.47
2019-06-09 02:20:00,25.73397223053411,26.25801775255057,26.082671682202,26.06297650115504,26.5029101,23.39
2019-06-09 02:30:00,25.654527623185015,26.200816158379197,26.007342792283826,26.011901248344913,26.429073300000002,23.21
2019-06-09 02:40:00,25.67135245150941,26.166502041319013,25.934844548297853,26.004575825418076,26.430227000000002,23.17
2019-06-09 02:50:00,25.673557728174604,26.13473145717932,25.99173039332436,25.970848047781097,26.5006027,23.22
2019-06-09 03:00:00,25.650831903674803,26.114065174140002,26.014926163654586,25.931404564518648,26.45445470000001,23.41
2019-06-09 03:10:00,25.6794534193547,26.07825435336097,25.99642124982551,25.86624703089601,26.395615999999997,23.34
2019-06-09 03:20:00,25.569952470281912,26.028581550172433,25.944813746982497,25.79603951151093,26.322932899999998,23.37
2019-06-09 03:30:00,25.411274560086717,25.99188649886949,25.81818431513431,25.73800656741228,26.201794399999997,23.5
2019-06-09 03:40:00,25.30954219381982,25.92547737945507,25.72139760903155,25.668242409465947,26.133726100000004,22.95
2019-06-09 03:50:00,25.09358328425437,25.809734367728623,25.631160827299446,25.565008607127066,26.081809600000003,22.44
2019-06-09 04:00:00,25.00412663965727,25.728279027501717,25.44778672645112,25.503819113559512,26.01489500000001,22.24
2019-06-09 04:10:00,25.002665643754874,25.665296349661933,25.324583883310627,25.45534481092896,25.8972176,22.11
2019-06-09 04:20:00,25.143881452004337,25.64394540527985,25.272096296595716,25.42254210783753,25.851069600000002,22.33
2019-06-09 04:30:00,25.06786457991333,25.61373357600656,25.29630821141868,25.36321454611197,25.7564662,22.24
2019-06-09 04:40:00,24.96474091386712,25.58816451123648,25.28128563573902,25.340971483556128,25.674553500000002,22.43
2019-06-09 04:50:00,24.967729802972737,25.525147703626565,25.236825512776036,25.286599305935308,25.60302410000001,21.88
2019-06-09 05:00:00,24.86033361178605,25.49226811898055,25.187681956873174,25.27046905776496,25.5130355,22.29
2019-06-09 05:10:00,24.81845107062624,25.47542913641608,25.22615775956332,25.23541782489955,25.5061133,22.37
2019-06-09 05:20:00,24.893021957403754,25.460442649076228,25.22085758826662,25.209520938145804,25.438045000000002,22.43
2019-06-09 05:30:00,24.83486942605409,25.40216294224895,25.196187983713678,25.15817263371036,25.4011266,21.95
2019-06-09 05:40:00,24.771664911027287,25.336383096419677,25.165354811252946,25.09364001776391,25.38036,21.87
2019-06-09 05:50:00,24.76757664510377,25.276319250517588,25.07701611218296,25.015314812934236,25.3169065,21.69
2019-06-09 06:00:00,24.68733898863205,25.19848171521876,24.97833919972184,24.96286200228305,25.2719122,21.34
2019-06-09 06:10:00,24.543304550249985,25.17375813686625,24.872163477262607,24.953265929054023,25.249991899999998,21.68
2019-06-09 06:20:00,24.49577606195713,25.174323392765498,24.890594504352087,24.966437416073926,25.165771799999998,21.6
2019-06-09 06:30:00,24.482128373880617,25.217967742875924,24.909326968580608,25.01541534249269,25.1011646,21.61
2019-06-09 06:40:00,24.577965295871483,25.32081487148997,24.873317671201118,25.07864880918618,25.1242386,22.22
2019-06-09 06:50:00,24.661130827649764,25.442121000744237,24.924474044339124,25.19645183367763,25.1057794,22.75
2019-06-09 07:00:00,24.766524816068912,25.541242753921427,24.99815353522645,25.292162981169238,25.130007100000004,23.18
2019-06-09 07:10:00,24.811070660772014,25.60791049880141,25.081332094319038,25.349762793507704,25.059631399999997,23.19
2019-06-09 07:20:00,24.90882416945663,25.655701280694746,25.13254208012205,25.396118576538143,25.0907813,23.06
2019-06-09 07:30:00,24.90024533033371,25.69837547990359,25.163888368935517,25.419397355866607,25.0723221,23.14
2019-06-09 07:40:00,25.00124959233868,25.795059537535092,25.176061448507166,25.51946034995369,25.2015365,23.47
2019-06-09 07:50:00,25.081071363152283,25.907859351185646,25.275480895491704,25.64765408057941,25.3192139,24.02
2019-06-09 08:00:00,25.14767786765429,25.913946434692413,25.442915933354033,25.68976739661507,25.4080488,24.52
2019-06-09 08:10:00,25.235481058893708,26.000103328596072,25.51380350265477,25.762154381680652,25.4426598,25.39
