tiempo,To,hr,Environment:Site Outdoor Air Barometric Pressure [Pa](TimeStep),ws,wd,Id,Ib,alpha,C_ROJAS:Zone Electric Equipment Electric Power [W](TimeStep),C_ROJAS:Zone Electric Equipment Total Heating Rate [W](TimeStep),C_1:Zone Mean Air Temperature [C](TimeStep),C_2:Zone Mean Air Temperature [C](TimeStep),Ti,T_1:Zone Mean Air Temperature [C](TimeStep),T_2:Zone Mean Air Temperature [C](TimeStep),T_ROJAS:Zone Mean Air Temperature [C](TimeStep)
2019-06-08 00:00:00,,,,,,,,,,,,,,,,
2019-06-08 00:10:00,19.9,98.0,87653.0,1.1,57.0,0.0,0.0,-47.9007830190096,0.0,0.0,25.45324829999188,25.130052018295718,25.987106090208,23.217320278572178,23.11176911482566,23.6232889336862
2019-06-08 00:20:00,19.9,98.0,87628.0,0.4,42.0,0.0,0.0,-48.193322250232356,0.0,0.0,25.320928974895967,24.991519629369613,25.843582163292176,23.160709575795003,23.054004668172265,23.55249193166504
2019-06-08 00:30:00,20.0,97.0,87597.0,0.6,113.0,0.0,0.0,-48.34449338875129,0.0,0.0,25.20498724272029,24.872340020542804,25.720011309278828,23.1396049314516,23.031219726557282,23.51634380393876
2019-06-08 00:40:00,20.0,98.0,87584.0,1.1,111.0,0.0,0.0,-48.35275401914978,0.0,0.0,25.08124371607554,24.746611310550065,25.58869845501232,23.04185526835509,22.93307342931583,23.405240739426727
2019-06-08 00:50:00,20.0,98.0,87581.0,0.5,123.0,0.0,0.0,-48.218019216109425,0.0,0.0,25.06650097504432,24.72540907309628,25.548406418587575,23.081246884467074,22.97069280085062,23.429900045564803
2019-06-08 01:00:00,20.0,98.0,87565.0,0.6,207.0,0.0,0.0,-47.941665847260616,0.0,0.0,25.050303181700652,24.704223408371213,25.50953965900654,23.05294652985993,22.941070883255538,23.387806772135786
2019-06-08 01:10:00,20.0,98.0,87550.0,0.7,181.0,0.0,0.0,-47.52646349759993,0.0,0.0,24.987717431786002,24.636967458598214,25.42985087128131,23.00768717305311,22.894407162936588,23.329121835661997
2019-06-08 01:20:00,20.0,98.0,87543.0,0.7,325.0,0.0,0.0,-46.97643992455401,0.0,0.0,24.97987244092759,24.62123439261702,25.39409154523947,23.034586616424843,22.919599646151447,23.341560859605174
2019-06-08 01:30:00,20.0,98.0,87537.0,0.9,331.0,0.0,0.0,-46.29669577681375,0.0,0.0,25.01193451828276,24.64626834380949,25.39442485622838,23.02887535210451,22.912591776334892,23.32224207014028
2019-06-08 01:40:00,19.8,98.0,87549.0,1.2,323.0,0.0,0.0,-45.49318734578516,0.0,0.0,24.98594652654592,24.61433809636805,25.346877472683424,22.880709857444238,22.76392096501459,23.163163465871268
2019-06-08 01:50:00,19.7,98.0,87540.0,1.6,10.0,0.0,0.0,-44.57249695402149,0.0,0.0,24.80440527229151,24.42724620628137,25.16160002044218,22.978848070920144,22.85922725555973,23.240738232610603
2019-06-08 02:00:00,19.6,99.0,87542.0,1.6,339.0,0.0,0.0,-43.54160860140869,0.0,0.0,24.664008311186336,24.28283715960306,25.01462752424149,22.864189599955836,22.742481376191872,23.113981505383286
2019-06-08 02:10:00,19.4,99.0,87528.0,1.4,1.0,0.0,0.0,-42.4077026038241,0.0,0.0,24.60279029878066,24.209503086877664,24.931139764601127,22.66939208589877,22.54900760107293,22.912820213343238
2019-06-08 02:20:00,19.5,99.0,87534.0,0.7,40.0,0.0,0.0,-41.17797825915662,0.0,0.0,24.64650354636137,24.24341064832663,24.942085980444823,22.509021272637614,22.387937394879202,22.745369466913317
2019-06-08 02:30:00,19.6,98.0,87527.0,0.2,332.0,0.0,0.0,-39.85950900953953,0.0,0.0,24.542163754077713,24.129905565073557,24.823839210219056,22.51455186433289,22.391840834003442,22.738071050462985
2019-06-08 02:40:00,19.5,98.0,87525.0,0.6,37.0,0.0,0.0,-38.45913076845659,0.0,0.0,24.479630431832124,24.058793809898038,24.742470032735664,22.433118916566468,22.308695879318535,22.644543745896936
2019-06-08 02:50:00,19.6,98.0,87521.0,0.3,12.0,0.0,0.0,-36.983361333891246,0.0,0.0,24.468605229226497,24.037545929708557,24.702939409510144,22.44521513611346,22.320137304462687,22.645440969404394
2019-06-08 03:00:00,19.6,98.0,87518.0,1.3,7.0,0.0,0.0,-35.438347123529525,0.0,0.0,24.53866884692677,24.097089450542985,24.732899186834363,22.56644109483893,22.440085128050324,22.751026327983304
